S,E,I,R,D
0.8457800495224524,0.217452593254036,0.4497387877393193,0.328077059959986,0.3545934885162726
0.7989147588862952,0.1404833532397162,0.2703453558919503,0.575704439041781,0.4101940719323234
0.7717574792075946,0.088632010007611,0.1653910436709313,0.7259355031548465,0.4439259429510829
0.7555359186659574,0.0552963061774049,0.1019498710791962,0.8182142842907686,0.4646455987787392
0.7456920016554676,0.0343100125543896,0.0630188528097618,0.8751839322495475,0.4774371797228998
0.7396688112881398,0.0212307431983028,0.0389809118258074,0.9104140088945406,0.4853475037852757
0.7359674505077398,0.0131195391705995,0.0241083368473905,0.9322060994766032,0.4902405529897334
0.733687938266877,0.0081018926034363,0.0149044038581098,0.9456815127600474,0.493266231503596
0.7322826633014184,0.0050021747290917,0.009211194579637,0.954009748853752,0.4951361975281673
0.7314156264067815,0.0030878740632234,0.0056906061008903,0.9591561390989404,0.4962917333222308
0.7308804557081816,0.0019058189715296,0.0035143080526178,0.9623357373642007,0.4970056588955365
0.7305502951721528,0.0011765103673726,0.0021703370346262,0.9642984771532586,0.4974463592646562
0.730346448584973,0.0007262006132702,0.0013400270966871,0.965510748248018,0.4977185544491183
0.7302205972596495,0.0004481938724756,0.000827196170478,0.966259351017806,0.4978866406716573
0.7301429778227182,0.0002767404236125,0.0005108171815234,0.9667211203236034,0.4979903232406089
0.7300949977873166,0.0001707569164318,0.0003152198819452,0.9670065848779302,0.4980544195284428
0.7300654335334856,0.0001054559433752,0.0001946818676834,0.9671824912805328,0.4980939163669894
0.730047144258963,6.505848872204872e-05,0.0001201097632167,0.96729131546496,0.4981183510162046
0.7300358864204086,4.019311351184087e-05,7.420476326892384e-05,0.967358302794905,0.4981333918999721
0.73002890908885,2.478189020708888e-05,4.575360736524228e-05,0.9673998204182364,0.4981427139874078
0.730024629042432,1.5328655255094524e-05,2.8300472720058342e-05,0.967425288420584,0.4981484324010752
0.7300219622444799,9.438387358063689e-06,1.7425910306088104e-05,0.9674411570203612,0.4981519954295613
0.7300203331637952,5.840286483038082e-06,1.078275738828892e-05,0.9674508507827414,0.4981541720016586
0.7300193219752432,3.6068759808457466e-06,6.659295756205264e-06,0.9674568678187088,0.4981555230263775
0.7300186914052434,2.214113804391068e-06,4.087951098286808e-06,0.967460620004928,0.4981563655169925
0.7300183147077333,1.3821494011314538e-06,2.5517885635365483e-06,0.9674628615319908,0.4981568688143778
0.7300180744975032,8.51573374279463e-07,1.5722706609474684e-06,0.9674642908963146,0.4981571897542133
0.7300179226974934,5.162622885181237e-07,9.532825993129216e-07,0.9674651941785616,0.4981573925711236
0.7300178363018128,3.254925316256019e-07,6.009212494743482e-07,0.9674657082738553,0.4981575080026174
0.7300177832030919,2.082282990279533e-07,3.843775758378507e-07,0.9674660242363848,0.4981575789467151
0.7300177442606378,1.220137453281243e-07,2.257781668456925e-07,0.967466255962566,0.4981576309769506
0.7300177212694495,7.1209207397538e-08,1.3204727752626754e-07,0.967466392771112,0.4981576616950199
0.7300177109424568,4.867191969701728e-08,8.966337611148167e-08,0.9674664542216124,0.4981576754927013
0.7300177052872375,3.63384002842148e-08,6.644508425991673e-08,0.9674664878728264,0.4981576830485181
0.7300176984613497,1.8287085423410195e-08,4.158506541928465e-08,0.9674665284901154,0.4981576921684505
0.730017693784836,4.665386113775543e-09,2.5807590806114457e-08,0.9674665563176058,0.4981576984166478
0.7300176914001032,1.0770495710384207e-09,1.4404168084575729e-08,0.967466570507904,0.4981577016028417
0.7300176908506781,6.14378482299531e-09,5.883446258331484e-09,0.9674665737772408,0.4981577023369166
0.7300176910990095,1.1527792880149082e-08,2.0605949546011224e-09,0.9674665722995444,0.4981577020051246
0.7300177219074794,-8.362901541072997e-08,2.908964615185167e-07,0.9674663889745708,0.4981576608425702
0.7300178458024273,-4.504371012477758e-07,1.436576585246252e-06,0.9674656517410362,0.498157495309119
0.7300179345285785,-7.134866529110417e-07,2.257407617734316e-06,0.967465123778545,0.4981573767639782
0.7300179072318298,-6.374765412561147e-07,2.0097949037680603e-06,0.967465286207249,0.4981574132346251
