timestamp,country,admin1,admin2,admin3,lat,lng,feature,value
2022-01-12T00:00:00,,,,,,,Susceptible,0.03931598112934436
2022-01-13T00:00:00,,,,,,,Susceptible,0.038712790918072275
2022-01-14T00:00:00,,,,,,,Susceptible,0.03839025747130262
2022-01-15T00:00:00,,,,,,,Susceptible,0.03822523248306298
2022-01-16T00:00:00,,,,,,,Susceptible,0.03814517024064685
2022-01-17T00:00:00,,,,,,,Susceptible,0.03810829466058573
2022-01-18T00:00:00,,,,,,,Susceptible,0.03809212767240784
2022-01-19T00:00:00,,,,,,,Susceptible,0.03808545724725321
2022-01-20T00:00:00,,,,,,,Susceptible,0.03808293833224725
2022-01-21T00:00:00,,,,,,,Susceptible,0.03808210066232685
2022-01-22T00:00:00,,,,,,,Susceptible,0.03808186751138319
2022-01-23T00:00:00,,,,,,,Susceptible,0.03808181671066099
2022-01-24T00:00:00,,,,,,,Susceptible,0.0380818091872777
